shac,codigo,mk_p,sen_slope,class
216,5426012,9.730344172567129e-4,-0.13500178566151622,1
216,5426018,3.002275843755342e-5,-0.10738852070474264,1
216,5426021,5.121826234244509e-6,-0.13758149383235824,1
216,5428005,0.721176266670227,0.04493189379393778,4
216,5428008,0.00861078780144453,-0.08088743466105867,2
216,5428010,6.891097291372716e-5,-0.14497935353409502,1
217,5410015,0.19821064174175262,-0.12803882834706526,1
217,5410018,0.018853377550840378,-0.11551671424216721,1
217,5415008,2.340139872103464e-5,-0.10113181405978448,1
218,5420009,0.9278177618980408,-0.030652971999457903,3
219,5420006,0.6197147369384766,-0.0352501809537439,3
220,5423015,0.4297952651977539,-0.05579891805886846,2
220,5423017,0.6927800178527832,-0.02485747621596044,3
220,5423018,0.015655215829610825,-0.08432996191285277,2
220,5423019,0.005720310844480991,-0.05733920239629865,2
220,5423022,0.5959123969078064,-0.09802103023628092,2
220,5423023,0.5062837600708008,-0.027520530602569048,3
220,5424007,0.14256863296031952,-0.07894230511498732,2
220,5424008,0.05711809918284416,-0.09740497325117352,2
220,5424010,0.03272614628076553,-0.12332124003620473,1
220,5425006,0.7702877521514893,-0.025465657250856883,3
221,5425004,1,-0.019128812606358684,3
221,5426005,0.1664450764656067,-0.05286402963556153,2
221,5426006,0.016209539026021957,-0.05669875146594201,2
221,5426007,0.0015876397956162691,-0.06793532730331198,2
221,5426008,0.8711314797401428,0.02350234424970865,4
221,5426015,0.8887056112289429,-0.028227527329780726,3
221,5426016,0.01679331250488758,-0.1292342593083991,1
221,5426020,8.49821517476812e-5,-0.09563980407640793,2
221,5426022,0.12753359973430634,-0.02783160296403139,3
223,5422003,0.008014954626560211,-0.12882846728650763,1
