periodo,shac,codigo,nombre,dia_slope,año_slope,sign,sign_2,n,length_años,n_percent,lon,lat
1980-2000,SHAC_220,5424010,FUNDO EL CARMEN,-8.579606799879109e-6,-0.0031315564819558747,0.5973573327064514,0,18,20,0.9,-71.17176756,-32.76189317
1980-2000,SHAC_220,5424012,CONCHALI,8.703296647811435e-5,0.03176703276451174,4.76837158203125e-7,1,18,20,0.9,-71.15662562,-32.79431312
1980-2000,SHAC_220,5425006,PARCELA SAN ANTONIO,5.940594306930697e-5,0.021683169220297043,0.0018552541732788086,1,18,20,0.9,-71.20516138,-32.79858071
1980-2000,SHAC_220,5427010,A.P. OLMUE,1.6457132470175384e-4,0.06006853351614015,4.76837158203125e-7,1,14,20,0.7,-71.11547512,-32.82940126
1980-2000,SHAC_221,5425004,CALLEJON ZARAVIA,2.2897849595602643e-4,0.08357715102394965,0.009070515632629395,1,12,20,0.6,-71.22723603,-32.81845292
1980-2000,SHAC_221,5425005,CALLE SANTA MARIA,2.4435388633839346e-4,0.08918916851351362,1.1920928955078125e-7,1,18,20,0.9,-71.22882185,-32.83661357
1980-2000,SHAC_221,5426005,FUNDO ESMERALDA (1),-1.8183519484923006e-5,-0.006636984611996897,0.007457109168171883,1,18,20,0.9,-71.25657172,-32.91750049
1980-2000,SHAC_221,5426006,FUNDO ESMERALDA (2),-7.019197480957526e-6,-0.002562007080549497,0.2564127445220947,0,18,20,0.9,-71.25652012,-32.91757356
1980-2000,SHAC_221,5426007,FUNDO EL PROGRESO,6.024095421686753e-5,0.021987948289156647,5.0067901611328125e-6,1,17,20,0.85,-71.22865304,-32.79736207
1980-2000,SHAC_221,5426008,FUNDO SAN ANTONIO,4.980178571928484e-4,0.18177651787538968,9.5367431640625e-7,1,12,20,0.6,-71.22861395,-32.79750705
1980-2000,SHAC_221,5426009,ASENTAMIENTO EL CAJON,-1.4556378350277267e-4,-0.053130780978512024,4.133309516873851e-8,1,17,20,0.85,-71.26840097,-32.93819802
1980-2000,SHAC_221,5426011,FUNDO ESMERALDA (3),4.419444917637605e-5,0.016130973949377257,0,1,18,20,0.9,-71.31049787,-32.90717275
1980-2000,SHAC_221,5426014,ASENTAMIENTO LAS PATAGUAS,1.5371077130434092e-4,0.056104431526084436,0,1,18,20,0.9,-71.20391021,-32.8741272
1980-2000,SHAC_221,5426015,PARCELA 12 LA CRUZ,7.102006200291515e-5,0.025922322631064032,0,1,18,20,0.9,-71.2046332,-32.8463486
1980-2000,SHAC_221,5426016,SAN ISIDRO PUENTE,5.597699675578787e-5,0.020431603815862575,2.872943878173828e-5,1,18,20,0.9,-71.24692776,-32.90183931
1980-2000,SHAC_221,5426020,LAS CRUZADAS,4.283887014813444e-5,0.015636187604069072,0.03905069828033447,1,15,20,0.75,-71.29507,-32.93648442
1980-2000,SHAC_221,5426022,ASENTAMIENTO LAS PATAGUAS,-2.511591885625966e-5,-0.009167310382534776,3.5362751805223525e-4,1,18,20,0.9,-71.22095055,-32.90606406
1980-2000,SHAC_222,5427011,FUNDO EL ROCIO,1.2605030042016853e-4,0.046008359653361516,0.1596977710723877,0,12,20,0.6,-71.24191508,-33.02675085
1980-2000,SHAC_222,5427012,SAN CARLOS PELUMPEN,2.4503483506434795e-4,0.089437714798487,0.018886089324951172,1,13,20,0.65,-71.190709,-33.01443184
1980-2000,SHAC_223,5422003,A.P. LLAY LLAY (1),0,0,0.9491705894470215,0,14,20,0.7,-70.96017932,-32.84360942
1980-2000,SHAC_223,5422003,LLAY LLAY (1),0,0,0.9491705894470215,0,14,20,0.7,-70.96017932,-32.84360942
1980-2000,SHAC_223,5422005,A.P. LLAY LLAY (2),3.2934652799445305e-5,0.012021148271797536,0.1890268325805664,0,18,20,0.9,-70.95805645,-32.84472487
1980-2000,SHAC_224,5414008,PERFIL PUTAENDO (1),0.0034823844105691054,1.2710703098577234,1.430511474609375e-6,1,13,20,0.65,-70.75070774,-32.69113022
1980-2000,SHAC_224,5414009,PERFIL PUTAENDO (2),0.0023577352002044157,0.8605733480746117,0.03283286094665527,1,9,20,0.45,-70.74932717,-32.69690364
2000-2020,SHAC_216,5426012,ASENTAMIENTO LA VICTORIA (1),9.313201232205951e-4,0.3399318449755172,0,1,20,20,1,-71.40980426,-32.92284453
2000-2020,SHAC_216,5426017,ASENTAMIENTO LA VICTORIA (2),5.297938723248313e-4,0.1933747633985634,0,1,12,20,0.6,-71.42446573,-32.92570783
2000-2020,SHAC_216,5426018,ASENTAMIENTO LA VICTORIA (3),7.22277000326678e-4,0.2636311051192375,0,1,21,20,1.05,-71.43890726,-32.93143209
2000-2020,SHAC_216,5426019,LAJARILLAS,5.31395445442804e-4,0.19395933758662345,0,1,20,20,1,-71.46630064,-32.92369858
