periodo,shac,codigo,nombre,dia_slope,año_slope,sign,sign_2,n,length_años,n_percent,lon,lat
2000-2010,SHAC_221,5425004,CALLEJON ZARAVIA,1.350176045296166e-4,0.04928142565331006,0.22210192680358887,0,11,10,1.1,-71.22723603,-32.81845292
2000-2010,SHAC_221,5425005,CALLE SANTA MARIA,-3.6354168099148287e-4,-0.13269271356189125,0.27767932415008545,0,11,10,1.1,-71.22882185,-32.83661357
2000-2010,SHAC_221,5426005,FUNDO ESMERALDA (1),4.3576425146319385e-5,0.015905395178406577,5.347728729248047e-4,1,11,10,1.1,-71.25657172,-32.91750049
2000-2010,SHAC_221,5426006,FUNDO ESMERALDA (2),2.547306841339154e-5,0.009297669970887913,0.02674126625061035,1,11,10,1.1,-71.25652012,-32.91757356
2000-2010,SHAC_221,5426007,FUNDO EL PROGRESO,-1.2202210226612435e-4,-0.04453806732713539,0.004131813067942858,1,11,10,1.1,-71.22865304,-32.79736207
2000-2010,SHAC_221,5426008,FUNDO SAN ANTONIO,-8.04322594825936e-6,-0.0029357774711146665,0.9440639615058899,0,11,10,1.1,-71.22861395,-32.79750705
2000-2010,SHAC_221,5426009,ASENTAMIENTO EL CAJON,0,0,0.9136155843734741,0,11,10,1.1,-71.26840097,-32.93819802
2000-2010,SHAC_221,5426011,FUNDO ESMERALDA (3),1.9502566476602728e-5,0.007118436763959996,0.8910390138626099,0,10,10,1,-71.31049787,-32.90717275
2000-2010,SHAC_221,5426014,ASENTAMIENTO LAS PATAGUAS,7.745935205267228e-5,0.028272663499225383,0.009092092514038086,1,11,10,1.1,-71.20391021,-32.8741272
2000-2010,SHAC_221,5426015,PARCELA 12 LA CRUZ,1.1437283720930231e-4,0.041746085581395344,5.125999450683594e-5,1,11,10,1.1,-71.2046332,-32.8463486
2000-2010,SHAC_221,5426016,SAN ISIDRO PUENTE,3.6887399171539316e-5,0.013463900697611851,0.2870696783065796,0,11,10,1.1,-71.24692776,-32.90183931
2000-2010,SHAC_221,5426020,LAS CRUZADAS,2.309266185325928e-4,0.08428821576439637,1.3709068298339844e-5,1,11,10,1.1,-71.29507,-32.93648442
2000-2010,SHAC_221,5426022,ASENTAMIENTO LAS PATAGUAS,0,0,0.8917074203491211,0,11,10,1.1,-71.22095055,-32.90606406
2000-2010,SHAC_222,5427011,FUNDO EL ROCIO,-6.750679342934264e-5,-0.024639979601710063,0.2574552297592163,0,11,10,1.1,-71.24191508,-33.02675085
2000-2010,SHAC_222,5427012,SAN CARLOS PELUMPEN,-4.6374323355817904e-5,-0.016926628024873536,0.38557660579681396,0,11,10,1.1,-71.190709,-33.01443184
2000-2010,SHAC_223,5422003,A.P. LLAY LLAY (1),1.1864405536723166e-4,0.04330508020903955,0.11003518104553223,0,9,10,0.9,-70.96017932,-32.84360942
2000-2010,SHAC_223,5422003,LLAY LLAY (1),1.1864405536723166e-4,0.04330508020903955,0.11003518104553223,0,9,10,0.9,-70.96017932,-32.84360942
2000-2010,SHAC_223,5422005,A.P. LLAY LLAY (2),7.680493394777272e-5,0.028033800890937044,0.34104347229003906,0,6,10,0.6,-70.95805645,-32.84472487
2000-2010,SHAC_224,5414008,PERFIL PUTAENDO (1),0.002170481452249408,0.792225730071034,0.1319425106048584,0,10,10,1,-70.75070774,-32.69113022
2000-2010,SHAC_224,5414009,PERFIL PUTAENDO (2),-3.8796319107664486e-5,-0.014160656474297538,0.9530642628669739,0,11,10,1.1,-70.74932717,-32.69690364
2010-2020,SHAC_216,5426012,ASENTAMIENTO LA VICTORIA (1),0.0016012557824175823,0.5844583605824175,1.1920928955078125e-7,1,10,10,1,-71.40980426,-32.92284453
2010-2020,SHAC_216,5426017,ASENTAMIENTO LA VICTORIA (2),8.479875252051583e-4,0.30951544669988273,2.7179718017578125e-5,1,9,10,0.9,-71.42446573,-32.92570783
2010-2020,SHAC_216,5426018,ASENTAMIENTO LA VICTORIA (3),3.1397934558608274e-4,0.1146024611389202,0.017045259475708008,1,11,10,1.1,-71.43890726,-32.93143209
2010-2020,SHAC_216,5426019,LAJARILLAS,0.0020873426602516657,0.761880070991858,0,1,10,10,1,-71.46630064,-32.92369858
2010-2020,SHAC_216,5426021,TABOLANGO (1),6.671528986511117e-4,0.24351080800765576,0,1,11,10,1.1,-71.36176478,-32.92720664
2010-2020,SHAC_216,5428005,CON CON,1.8456122781044967e-4,0.06736484815081413,2.5272369384765625e-5,1,10,10,1,-71.47398601,-32.92593612
2010-2020,SHAC_216,5428006,CON CON,8.266182571660728e-4,0.3017156638656166,0.07634580135345459,0,3,10,0.3,-71.47217409,-32.92383496
2010-2020,SHAC_216,5428008,CON CON,0.002006762120425715,0.732468173955386,3.814697265625e-6,1,11,10,1.1,-71.49086356,-32.92386042
2010-2020,SHAC_216,5428010,LAJARILLAS,0.0017953666940154441,0.6553088433156371,0,1,11,10,1.1,-71.46550599,-32.92549965
2010-2020,SHAC_217,5410011,FUNDO LAS PENAS,0.009834709917355362,3.5896691198347073,0.0011556148529052734,1,8,10,0.8,-70.6532793,-32.79706589
2010-2020,SHAC_217,5410014,MISION DE MARIA,0.007313424302777325,2.6693998705137236,0,1,9,10,0.9,-70.68086565,-32.80406714
2010-2020,SHAC_217,5410015,FUNDO LAS VIÑAS,0.00556349156207544,2.0306744201575357,0,1,7,10,0.7,-70.6726185,-32.79366137
2010-2020,SHAC_217,5410018,FUNDO LA QUIMERA,0.007778277302513465,2.8390712154174147,0,1,10,10,1,-70.68087768,-32.80413913
2010-2020,SHAC_217,5410019,FUNDO LOS PINOS,0.0083745125749531291,3.056697089857892,1.6021728515625e-4,1,6,10,0.6,-70.66409096,-32.78070632
2010-2020,SHAC_217,5410020,FUNDO LOS CASTAÑOS,0.004173282479826043,1.5232481051365057,3.6954879760742188e-06,1,10,10,1,-70.69553787,-32.76236364
2010-2020,SHAC_217,5410021,FUNDO LOS MAITENES,0.006069890913978495,2.2155101836021505,4.252195358276367e-4,1,8,10,0.8,-70.67754628,-32.83996231
2010-2020,SHAC_217,5410023,POZO MARTINEZ,0.006540697674418605,2.387354651162791,0,1,7,10,0.7,-70.71461418,-32.77690421
2010-2020,SHAC_217,5414007,EL ASIENTO,0.016785248349741398,6.12661564765561,4.315376281738281e-5,1,5,10,0.5,-70.73211114,-32.73550971
2010-2020,SHAC_217,5415008,PERFIL SAN FELIPE,0.003649166321005924,1.331945707167162,0,1,11,10,1.1,-70.73392996,-32.73630529
2010-2020,SHAC_218,5420009,FUNDO SAN ROQUE,6.056133922612509e-6,0.002210488881753566,0.8430671691894531,0,11,10,1.1,-70.86215186,-32.79265447
2010-2020,SHAC_218,5423024,ASENTAMIENTO ROMERAL,NA,NA,1,0,1,10,0.1,-71.02547156,-32.82884349
2010-2020,SHAC_219,5420006,FUNDO SANTA ADRIANA,1.4988422349420787e-4,0.054707741575385875,0.01710045337677002,1,10,10,1,-70.82913475,-32.77221762
2010-2020,SHAC_219,5420007,HIJUELA PRINCIPAL,6.811556585271314e-4,0.24862181536240296,0.12899601459503174,0,6,10,0.6,-70.80895258,-32.75661954
2010-2020,SHAC_220,5423014,FUNDO FLORENCE,0.001167945341005967,0.426300049467178,0.031823158264160156,1,7,10,0.7,-71.1212261,-32.83946724
2010-2020,SHAC_220,5423015,RABUCO (1),0.0013654576667458487,0.4983920483622348,7.152557373046875e-7,1,11,10,1.1,-71.10740834,-32.8731217
2010-2020,SHAC_220,5423016,PARCELA 5,3.575112519534128e-4,0.13049160696299567,0.12309503555297852,0,5,10,0.5,-71.20547884,-32.79716832
2010-2020,SHAC_220,5423017,ASENTAMIENTO MANUEL RODRIGUEZ (1),6.263701316987143e-5,0.02286250980700307,0.16020798683166504,0,11,10,1.1,-71.14548902,-32.82405655
2010-2020,SHAC_220,5423018,ASENTAMIENTO LA SOMBRA,2.67949234195508e-4,0.09780147048136043,3.5762786865234375e-7,1,11,10,1.1,-71.05552522,-32.81523187
2010-2020,SHAC_220,5423019,POZO RABUCO (2),1.214445877277087e-4,0.04432727452061368,0.00013208389282226563,1,11,10,1.1,-71.11569622,-32.86077133
2010-2020,SHAC_220,5423020,FUNDO ESPERANZA,NA,NA,1,0,1,10,0.1,-71.10214426,-32.85383952
2010-2020,SHAC_220,5423021,ASENTAMIENTO MANUEL RODRIGUEZ (2),2.027397287671232e-4,0.07400000099999997,0.2975437641143799,0,6,10,0.6,-71.15491881,-32.81383945
2010-2020,SHAC_220,5423022,ASENTAMIENTO LOS AROMOS,4.926109556650239e-5,0.017980299881773375,0.20882081985473633,0,8,10,0.8,-71.08206483,-32.82806788
2010-2020,SHAC_220,5423023,ASENTAMIENTO MANUEL RODRIGUEZ (3),1.5032680980392156e-4,0.05486928557843137,0.01447761058807373,1,11,10,1.1,-71.146715,-32.80664879
2010-2020,SHAC_220,5424006,PUCALAN DE NOGALES,0.0020634399807697044,0.7531555929809421,1.5616416931152344e-4,1,9,10,0.9,-71.19913908,-32.71654211
2010-2020,SHAC_220,5424007,ASENTAMIENTO NOGALES,4.2553210575719657e-4,0.15531921860137674,0.04132688045501709,1,11,10,1.1,-71.19910174,-32.7167592
2010-2020,SHAC_220,5424008,ASENTAMIENTO EL MELON,4.962963533333334e-4,0.1811481689666667,0.047191500663757324,1,11,10,1.1,-71.19693963,-32.69166388
2010-2020,SHAC_220,5424010,FUNDO EL CARMEN,2.8621488960280377e-4,0.10446843470502337,2.2649765014648438e-06,1,11,10,1.1,-71.17176756,-32.76189317
2010-2020,SHAC_220,5424012,CONCHALI,1.8619615865493204e-4,0.0679615979090502,0.36336207389831543,0,8,10,0.8,-71.15662562,-32.79431312
2010-2020,SHAC_220,5425006,PARCELA SAN ANTONIO,1.4479198188516567e-4,0.05284907338808547,2.47955322265625e-5,1,11,10,1.1,-71.20516138,-32.79858071
2010-2020,SHAC_220,5427010,A.P. OLMUE,0.004368939417475728,1.5946628873786408,0.0021715164184570313,1,6,10,0.6,-71.11547512,-32.82940126
2010-2020,SHAC_221,5425004,CALLEJON ZARAVIA,-1.4884206961823866e-4,-0.05432735541065711,0.3893011808395386,0,9,10,0.9,-71.22723603,-32.81845292
2010-2020,SHAC_221,5425005,CALLE SANTA MARIA,0.008686868424242421,3.1707069748484837,1,0,2,10,0.2,-71.22882185,-32.83661357
2010-2020,SHAC_221,5426005,FUNDO ESMERALDA (1),2.1279634776995524e-4,0.07767066693603367,0.004105687141418457,1,11,10,1.1,-71.25657172,-32.91750049
2010-2020,SHAC_221,5426006,FUNDO ESMERALDA (2),3.5537856806325025e-4,0.12971317734308635,9.5367431640625e-7,1,11,10,1.1,-71.25652012,-32.91757356
2010-2020,SHAC_221,5426007,FUNDO EL PROGRESO,5.700712813030202e-4,0.20807601767560235,0,1,11,10,1.1,-71.22865304,-32.79736207
2010-2020,SHAC_221,5426008,FUNDO SAN ANTONIO,-2.9383424614643546e-4,-0.10724949984344895,4.489670100156218e-4,1,11,10,1.1,-71.22861395,-32.79750705
2010-2020,SHAC_221,5426009,ASENTAMIENTO EL CAJON,2.775652329303636e-4,0.10131131001958271,0.23697137832641602,0,8,10,0.8,-71.26840097,-32.93819802
2010-2020,SHAC_221,5426011,FUNDO ESMERALDA (3),-3.797354560550572e-4,-0.13860344146009587,0.37269145250320435,0,3,10,0.3,-71.31049787,-32.90717275
2010-2020,SHAC_221,5426014,ASENTAMIENTO LAS PATAGUAS,3.0059614931985155e-4,0.10971759450174581,0.10079169273376465,0,8,10,0.8,-71.20391021,-32.8741272
2010-2020,SHAC_221,5426015,PARCELA 12 LA CRUZ,-1.2862999521568884e-4,-0.04694994825372643,0.03536517545580864,1,11,10,1.1,-71.2046332,-32.8463486
2010-2020,SHAC_221,5426016,SAN ISIDRO PUENTE,1.485482970965563e-4,0.05422012844024304,0.17194128036499023,0,9,10,0.9,-71.24692776,-32.90183931
2010-2020,SHAC_221,5426020,LAS CRUZADAS,0.0019534120262980903,0.7129953895988029,6.613731384277344e-4,1,11,10,1.1,-71.29507,-32.93648442
2010-2020,SHAC_221,5426022,ASENTAMIENTO LAS PATAGUAS,1.7189836995515695e-4,0.06274290503363229,3.7038326263427734e-4,1,11,10,1.1,-71.22095055,-32.90606406
2010-2020,SHAC_222,5427011,FUNDO EL ROCIO,0.0020951418734817817,0.7647267838208504,0.04081583023071289,1,7,10,0.7,-71.24191508,-33.02675085
2010-2020,SHAC_222,5427012,SAN CARLOS PELUMPEN,0.0031482980972133085,1.1491288054828577,1,0,3,10,0.3,-71.190709,-33.01443184
2010-2020,SHAC_223,5422003,A.P. LLAY LLAY (1),2.7092964478502246e-4,0.0988893203465332,1.951456069946289e-4,1,11,10,1.1,-70.96017932,-32.84360942
2010-2020,SHAC_223,5422003,LLAY LLAY (1),2.7092964478502246e-4,0.0988893203465332,1.951456069946289e-4,1,11,10,1.1,-70.96017932,-32.84360942
2010-2020,SHAC_223,5422005,A.P. LLAY LLAY (2),-2.1303405831244718e-4,-0.07775743128404322,1,0,2,10,0.2,-70.95805645,-32.84472487
2010-2020,SHAC_224,5414008,PERFIL PUTAENDO (1),0.003912851172506739,1.4281906779649598,0.017336249351501465,1,7,10,0.7,-70.75070774,-32.69113022
2010-2020,SHAC_224,5414009,PERFIL PUTAENDO (2),0.010326796862745114,3.7692808549019667,1.1920928955078125e-7,1,6,10,0.6,-70.74932717,-32.69690364
