periodo,estacion,shac,codigo,nombre,año_slope,sign,sign_2,n,length_años,n_percent,lon,lat
1980-2000,Verano,SHAC_220,5427010,A.P. OLMUE,0.11183980893073592,0.01648867130279541,1,9,20,0.45,-71.11547512,-32.82940126
1980-2000,Verano,SHAC_221,5425004,CALLEJON ZARAVIA,0.11500013000000076,0.17530810832977295,0,9,20,0.45,-71.22723603,-32.81845292
1980-2000,Verano,SHAC_221,5425005,CALLE SANTA MARIA,0.09518518273148145,0.09950876235961914,0,13,20,0.65,-71.22882185,-32.83661357
1980-2000,Verano,SHAC_221,5426005,FUNDO ESMERALDA (1),-0.0011904750714285697,0.9211586713790894,0,15,20,0.75,-71.25657172,-32.91750049
1980-2000,Verano,SHAC_221,5426006,FUNDO ESMERALDA (2),0.007833333833333322,0.6206907033920288,0,15,20,0.75,-71.25652012,-32.91757356
1980-2000,Verano,SHAC_221,5426007,FUNDO EL PROGRESO,0.024444444955555554,0.0626981258392334,0,14,20,0.7,-71.22865304,-32.79736207
1980-2000,Verano,SHAC_221,5426008,FUNDO SAN ANTONIO,0.31166664750000006,0.020044684410095215,1,10,20,0.5,-71.22861395,-32.79750705
1980-2000,Verano,SHAC_221,5426009,ASENTAMIENTO EL CAJON,-0.049696972878787896,0.06676224619150162,0,15,20,0.75,-71.26840097,-32.93819802
1980-2000,Verano,SHAC_221,5426011,FUNDO ESMERALDA (3),0.01939393942424242,0.016006112098693848,1,14,20,0.7,-71.31049787,-32.90717275
1980-2000,Verano,SHAC_221,5426014,ASENTAMIENTO LAS PATAGUAS,0.0740000009,5.320310592651367e-4,1,15,20,0.75,-71.20391021,-32.8741272
1980-2000,Verano,SHAC_221,5426015,PARCELA 12 LA CRUZ,0.01874999699999999,0.15074968338012695,0,15,20,0.75,-71.2046332,-32.8463486
1980-2000,Verano,SHAC_221,5426016,SAN ISIDRO PUENTE,0.02999997149999989,0.04776120185852051,1,15,20,0.75,-71.24692776,-32.90183931
1980-2000,Verano,SHAC_221,5426020,LAS CRUZADAS,0.01662498414999994,0.5829505920410156,0,13,20,0.65,-71.29507,-32.93648442
1980-2000,Verano,SHAC_221,5426022,ASENTAMIENTO LAS PATAGUAS,-0.004166668583333322,0.7425568103790283,0,14,20,0.7,-71.22095055,-32.90606406
1980-2000,Verano,SHAC_222,5427011,FUNDO EL ROCIO,0.09305560577777813,0.2514522075653076,0,9,20,0.45,-71.24191508,-33.02675085
1980-2000,Verano,SHAC_222,5427012,SAN CARLOS PELUMPEN,0.08716666698333325,1,0,5,20,0.25,-71.190709,-33.01443184
1980-2000,Verano,SHAC_223,5422003,A.P. LLAY LLAY (1),-0.041250002552083345,0.1926162838935852,0,12,20,0.6,-70.96017932,-32.84360942
1980-2000,Verano,SHAC_223,5422003,LLAY LLAY (1),-0.041250002552083345,0.1926162838935852,0,12,20,0.6,-70.96017932,-32.84360942
1980-2000,Verano,SHAC_223,5422005,A.P. LLAY LLAY (2),-0.10364582887500001,0.028567679226398468,1,9,20,0.45,-70.95805645,-32.84472487
1980-2000,Verano,SHAC_224,5414008,PERFIL PUTAENDO (1),1.588999715666667,0.1735461950302124,0,8,20,0.4,-70.75070774,-32.69113022
1980-2000,Verano,SHAC_224,5414009,PERFIL PUTAENDO (2),0.8966668458333329,1,0,5,20,0.25,-70.74932717,-32.69690364
1980-2000,Otoño,SHAC_216,5426012,ASENTAMIENTO LA VICTORIA (1),0.004545455590909081,0.8266658782958984,0,14,20,0.7,-71.40980426,-32.92284453
1980-2000,Otoño,SHAC_216,5426017,ASENTAMIENTO LA VICTORIA (2),-4.576923062771243e-9,1,0,16,20,0.8,-71.42446573,-32.92570783
1980-2000,Otoño,SHAC_216,5426018,ASENTAMIENTO LA VICTORIA (3),-0.0030519536168831115,0.7526419758796692,0,16,20,0.8,-71.43890726,-32.93143209
1980-2000,Otoño,SHAC_216,5426019,LAJARILLAS,0.0021875016562499933,1,0,2,20,0.1,-71.46630064,-32.92369858
1980-2000,Otoño,SHAC_216,5426021,TABOLANGO (1),0.032916666736111114,0.0052024126052856445,1,16,20,0.8,-71.36176478,-32.92720664
1980-2000,Otoño,SHAC_216,5426023,TABOLANGO (2),-0.38999998599999997,1,0,3,20,0.15,-71.36605871,-32.93105693
1980-2000,Otoño,SHAC_216,5428005,CON CON,0.30594017127777784,0.0013905763626098633,1,16,20,0.8,-71.47398601,-32.92593612
1980-2000,Otoño,SHAC_216,5428006,CON CON,0.05728205685384616,0.027376770973205566,1,16,20,0.8,-71.47217409,-32.92383496
1980-2000,Otoño,SHAC_216,5428008,CON CON,0.35954545067171717,0.023987531661987305,1,13,20,0.65,-71.49086356,-32.92386042
1980-2000,Otoño,SHAC_216,5428010,LAJARILLAS,-0.009411782696078466,0.9169652462005615,0,9,20,0.45,-71.46550599,-32.92549965
1980-2000,Otoño,SHAC_217,5410010,FUNDO LA ESPERANZA,0.186428614999999,1,0,10,20,0.5,-70.61877795,-32.82246369
1980-2000,Otoño,SHAC_217,5410011,FUNDO LAS PENAS,1.3239997860000003,0.10740470886230469,0,10,20,0.5,-70.6532793,-32.79706589
1980-2000,Otoño,SHAC_217,5410014,MISION DE MARIA,1.1629121066758241,0.0013905763626098633,1,16,20,0.8,-70.68086565,-32.80406714
1980-2000,Otoño,SHAC_217,5410015,FUNDO LAS VIÑAS,0.5476192299999997,0.048744916915893555,1,14,20,0.7,-70.6726185,-32.79366137
1980-2000,Otoño,SHAC_217,5410017,FUNDO LAS MERCEDES,0.9322724777272726,0.008594989776611328,1,14,20,0.7,-70.64294187,-32.84634701
1980-2000,Otoño,SHAC_217,5410018,FUNDO LA QUIMERA,0.8999996199999991,0.008594989776611328,1,14,20,0.7,-70.68087768,-32.80413913
1980-2000,Otoño,SHAC_217,5410019,FUNDO LOS PINOS,0.8366667433333331,0.0075331926345825195,1,15,20,0.75,-70.66409096,-32.78070632
1980-2000,Otoño,SHAC_217,5410020,FUNDO LOS CASTAÑOS,1.679998395000002,0.024170517921447754,1,6,20,0.3,-70.69553787,-32.76236364
1980-2000,Otoño,SHAC_217,5410021,FUNDO LOS MAITENES,0.9197816320039682,0.0024989843368530273,1,9,20,0.45,-70.67754628,-32.83996231
1980-2000,Otoño,SHAC_217,5414007,EL ASIENTO,1.5106060142424242,0.028539061546325684,1,14,20,0.7,-70.73211114,-32.73550971
1980-2000,Otoño,SHAC_217,5415008,PERFIL SAN FELIPE,0.18285710471428576,0.004101395606994629,1,15,20,0.75,-70.73392996,-32.73630529
1980-2000,Otoño,SHAC_218,5420009,FUNDO SAN ROQUE,0.03179487500000007,0.16055583953857422,0,13,20,0.65,-70.86215186,-32.79265447
