periodo,estacion,shac,codigo,nombre,año_slope,sign,sign_2,n,años_totales,percent,lon,lat
1982-2022,Verano,SHAC_217,5410010,FUNDO LA ESPERANZA,-0.07666699104166597,0.7071142196655273,0,6,41,0.14634146341463414,-70.6187779,-32.8224636
1982-2022,Otoño,SHAC_217,5410010,FUNDO LA ESPERANZA,0.186428614999999,1,0,10,41,0.24390243902439024,-70.6187779,-32.8224636
1982-2022,Invierno,SHAC_217,5410010,FUNDO LA ESPERANZA,0.09749984749999996,0.8762695789337158,0,11,41,0.2682926829268293,-70.6187779,-32.8224636
1982-2022,Primavera,SHAC_217,5410010,FUNDO LA ESPERANZA,0.7683334350000001,0.031823158264160156,1,10,41,0.24390243902439024,-70.6187779,-32.8224636
1982-2022,Verano,SHAC_217,5410011,FUNDO LAS PENAS,1.0004165966666667,2.3615360260009766e-4,1,18,41,0.43902439024390244,-70.6532793,-32.7970658
1982-2022,Otoño,SHAC_217,5410011,FUNDO LAS PENAS,1.2909522280952384,2.0563602447509766e-4,1,18,41,0.43902439024390244,-70.6532793,-32.7970658
1982-2022,Invierno,SHAC_217,5410011,FUNDO LAS PENAS,0.8318748475,1.0478496551513672e-4,1,26,41,0.6341463414634146,-70.6532793,-32.7970658
1982-2022,Primavera,SHAC_217,5410011,FUNDO LAS PENAS,0.9177273836363636,6.846189498901367e-4,1,19,41,0.4634146341463415,-70.6532793,-32.7970658
1982-2022,Verano,SHAC_217,5410014,MISION DE MARIA,0.7240910095454546,9.262561798095703e-5,1,31,41,0.7560975609756098,-70.6808656,-32.8040671
1982-2022,Otoño,SHAC_217,5410014,MISION DE MARIA,0.7673999786000001,3.5762786865234375e-7,1,33,41,0.8048780487804879,-70.6808656,-32.8040671
1982-2022,Invierno,SHAC_217,5410014,MISION DE MARIA,0.6682000733999999,2.491474151611328e-5,1,31,41,0.7560975609756098,-70.6808656,-32.8040671
1982-2022,Primavera,SHAC_217,5410014,MISION DE MARIA,0.43819459291666657,0.0010279417037963867,1,30,41,0.7317073170731707,-70.6808656,-32.8040671
1982-2022,Verano,SHAC_217,5410015,FUNDO LAS VIÑAS,0.5354544032954545,3.5250186920166016e-4,1,25,41,0.6097560975609756,-70.6726185,-32.7936613
1982-2022,Otoño,SHAC_217,5410015,FUNDO LAS VIÑAS,0.5165685578921569,3.2186508178710938e-06,1,29,41,0.7073170731707317,-70.6726185,-32.7936613
1982-2022,Invierno,SHAC_217,5410015,FUNDO LAS VIÑAS,0.531428473571428,1.3458728790283203e-4,1,30,41,0.7317073170731707,-70.6726185,-32.7936613
1982-2022,Primavera,SHAC_217,5410015,FUNDO LAS VIÑAS,0.46184618537179484,3.5643577575683594e-5,1,25,41,0.6097560975609756,-70.6726185,-32.7936613
1982-2022,Verano,SHAC_217,5410017,FUNDO LAS MERCEDES,0.7012011632843135,0.011979460716247559,1,17,41,0.4146341463414634,-70.6429418,-32.846347
1982-2022,Otoño,SHAC_217,5410017,FUNDO LAS MERCEDES,0.42328132536458335,0.007848024368286133,1,21,41,0.5121951219512195,-70.6429418,-32.846347
1982-2022,Invierno,SHAC_217,5410017,FUNDO LAS MERCEDES,0.42812524909722227,0.010374307632446289,1,20,41,0.4878048780487805,-70.6429418,-32.846347
1982-2022,Primavera,SHAC_217,5410017,FUNDO LAS MERCEDES,0.3939791678541672,0.10950171947479248,0,21,41,0.5121951219512195,-70.6429418,-32.846347
1982-2022,Verano,SHAC_217,5410018,FUNDO LA QUIMERA,0.6714317444977511,3.2186508178710938e-06,1,32,41,0.7804878048780488,-70.6808776,-32.8041391
1982-2022,Otoño,SHAC_217,5410018,FUNDO LA QUIMERA,0.7122219927777778,4.76837158203125e-7,1,31,41,0.7560975609756098,-70.6808776,-32.8041391
1982-2022,Invierno,SHAC_217,5410018,FUNDO LA QUIMERA,0.701304394347826,7.033348083496094e-6,1,34,41,0.8292682926829268,-70.6808776,-32.8041391
1982-2022,Primavera,SHAC_217,5410018,FUNDO LA QUIMERA,0.5966666422222223,2.9087066650390625e-5,1,34,41,0.8292682926829268,-70.6808776,-32.8041391
1982-2022,Verano,SHAC_217,5410019,FUNDO LOS PINOS,0.3021874428125,0.07250869274139404,0,23,41,0.5609756097560976,-70.6640909,-32.7807063
1982-2022,Otoño,SHAC_217,5410019,FUNDO LOS PINOS,0.34701793021241845,0.003681778907775879,1,28,41,0.6829268292682927,-70.6640909,-32.7807063
1982-2022,Invierno,SHAC_217,5410019,FUNDO LOS PINOS,0.21277669179183123,0.11948966979980469,0,29,41,0.7073170731707317,-70.6640909,-32.7807063
1982-2022,Primavera,SHAC_217,5410019,FUNDO LOS PINOS,0.2764880391865078,0.008171796798706055,1,29,41,0.7073170731707317,-70.6640909,-32.7807063
